restaurante,categoria,pedidos
311,CAT_A,5552
312,CAT_A,612
313,CAT_A,3240
314,CAT_A,346
315,CAT_A,254
316,CAT_B,57
317,CAT_A,1487
318,CAT_A,285
319,CAT_A,2629
320,CAT_B,445
321,CAT_B,149
322,CAT_A,40
323,CAT_B,1050
324,CAT_A,16
325,CAT_B,346
326,CAT_A,75
327,CAT_A,1787
328,CAT_B,43
329,CAT_A,312
330,CAT_B,12
331,CAT_A,164
332,CAT_B,493
333,CAT_A,1319
334,CAT_B,16
335,CAT_B,485
336,CAT_B,482
337,CAT_B,380
338,CAT_B,24
339,CAT_A,903
340,CAT_B,90
341,CAT_B,260
342,CAT_A,1750
343,CAT_B,164
344,CAT_A,3527
345,CAT_A,434
346,CAT_A,751
347,CAT_B,406
348,CAT_B,1875
349,CAT_B,68
350,CAT_A,166
351,CAT_A,323
352,CAT_B,109
353,CAT_A,123
354,CAT_A,35
355,CAT_B,1084
356,CAT_A,823
357,CAT_B,1220
358,CAT_A,108
359,CAT_A,828
360,CAT_B,210
361,CAT_B,47
362,CAT_B,48
363,CAT_B,734
364,CAT_B,1834
365,CAT_B,42
366,CAT_B,1100
367,CAT_A,8
368,CAT_A,332
369,CAT_A,364
370,CAT_A,1120
371,CAT_A,88
372,CAT_A,3176
373,CAT_B,630
374,CAT_B,347
375,CAT_A,337
376,CAT_B,209
377,CAT_A,2856
378,CAT_B,1124
379,CAT_A,3440
380,CAT_A,215
381,CAT_A,201
382,CAT_A,87
383,CAT_A,400
384,CAT_A,36
385,CAT_A,2576
386,CAT_A,2744
387,CAT_B,461
388,CAT_A,499
389,CAT_B,1208
390,CAT_A,599
391,CAT_A,73
392,CAT_B,17
393,CAT_A,16
394,CAT_A,353
395,CAT_B,395
396,CAT_A,3390
397,CAT_B,1584
398,CAT_B,33
399,CAT_B,368
400,CAT_B,1386
401,CAT_B,26
402,CAT_A,1401
403,CAT_B,22
404,CAT_A,505
405,CAT_B,52
406,CAT_A,51
407,CAT_B,1153
408,CAT_B,1289
409,CAT_A,100
410,CAT_B,201
411,CAT_B,36
412,CAT_A,55
413,CAT_B,656
414,CAT_A,33
415,CAT_A,7
416,CAT_A,375
417,CAT_B,461
418,CAT_A,289
419,CAT_A,36
420,CAT_A,347
421,CAT_B,257
422,CAT_A,1
423,CAT_A,2207
424,CAT_A,1156
425,CAT_A,3372
426,CAT_A,3273
427,CAT_A,1750
428,CAT_A,35
429,CAT_B,368
430,CAT_A,427
431,CAT_B,542
432,CAT_B,2567
433,CAT_B,216
434,CAT_A,3517
435,CAT_A,35
436,CAT_B,31
437,CAT_B,486
438,CAT_A,1026
439,CAT_B,374
440,CAT_B,2
441,CAT_B,426
442,CAT_B,54
443,CAT_A,71
444,CAT_A,238
445,CAT_A,40
446,CAT_B,892
447,CAT_A,1
448,CAT_A,16
449,CAT_A,2
450,CAT_B,708
451,CAT_B,798
452,CAT_A,22
453,CAT_A,4436
454,CAT_A,42
455,CAT_B,241
456,CAT_B,885
457,CAT_B,8
458,CAT_A,34
459,CAT_A,23
460,CAT_A,1745
461,CAT_A,466
462,CAT_A,1119
463,CAT_B,546
464,CAT_A,471
465,CAT_A,2044
466,CAT_B,1135
467,CAT_A,263
468,CAT_A,184
469,CAT_A,4123
470,CAT_A,356
471,CAT_B,994
472,CAT_B,747
473,CAT_B,2062
474,CAT_B,793
475,CAT_B,800
476,CAT_B,274
477,CAT_A,15
478,CAT_B,289
479,CAT_B,40
