nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
acari,Rio Grande do Norte,Não,0.0
varre-sai,Rio de Janeiro,Não,0.0
apodi,Rio Grande do Norte,Não,0.0
arês,Rio Grande do Norte,Não,0.0
três rios,Rio de Janeiro,Não,0.0
augusto severo,Rio Grande do Norte,Não,0.0
vassouras,Rio de Janeiro,Não,0.0
baía formosa,Rio Grande do Norte,Não,0.0
antônio martins,Rio Grande do Norte,Não,0.0
trajano de moraes,Rio de Janeiro,Não,0.0
bento fernandes,Rio Grande do Norte,Não,0.0
baraúna,Rio Grande do Norte,Não,0.0
teresópolis,Rio de Janeiro,Não,0.0
açu,Rio Grande do Norte,Não,0.0
angicos,Rio Grande do Norte,Não,0.0
tanguá,Rio de Janeiro,Não,0.0
sumidouro,Rio de Janeiro,Não,0.0
barcelona,Rio Grande do Norte,Não,0.0
areia branca,Rio Grande do Norte,Não,0.0
afonso bezerra,Rio Grande do Norte,Não,0.0
grossos,Rio Grande do Norte,Não,0.0
ceará-mirim,Rio Grande do Norte,Não,0.0
cerro corá,Rio Grande do Norte,Não,0.0
natal,Rio Grande do Norte,Não,0.0
monte das gameleiras,Rio Grande do Norte,Não,0.0
monte alegre,Rio Grande do Norte,Não,0.0
montanhas,Rio Grande do Norte,Não,0.0
messias targino,Rio Grande do Norte,Não,0.0
maxaranguape,Rio Grande do Norte,Não,0.0
martins,Rio Grande do Norte,Não,0.0
marcelino vieira,Rio Grande do Norte,Não,0.0
major sales,Rio Grande do Norte,Não,0.0
macau,Rio Grande do Norte,Não,0.0
macaíba,Rio Grande do Norte,Não,0.0
luís gomes,Rio Grande do Norte,Não,0.0
lucrécia,Rio Grande do Norte,Não,0.0
lajes pintadas,Rio Grande do Norte,Não,0.0
lajes,Rio Grande do Norte,Não,0.0
lagoa salgada,Rio Grande do Norte,Não,0.0
lagoa nova,Rio Grande do Norte,Não,0.0
nísia floresta,Rio Grande do Norte,Não,0.0
nova cruz,Rio Grande do Norte,Não,0.0
olho-d'água do borges,Rio Grande do Norte,Não,0.0
pau dos ferros,Rio Grande do Norte,Não,0.0
poço branco,Rio Grande do Norte,Não,0.0
pilões,Rio Grande do Norte,Não,0.0
pendências,Rio Grande do Norte,Não,0.0
pedro velho,Rio Grande do Norte,Não,0.0
pedro avelino,Rio Grande do Norte,Não,0.0
pedra preta,Rio Grande do Norte,Não,0.0
pedra grande,Rio Grande do Norte,Não,0.0
patu,Rio Grande do Norte,Não,0.0
ouro branco,Rio Grande do Norte,Não,0.0
passagem,Rio Grande do Norte,Não,0.0
passa e fica,Rio Grande do Norte,Não,0.0
parnamirim,Rio Grande do Norte,Não,0.0
parelhas,Rio Grande do Norte,Não,0.0
parazinho,Rio Grande do Norte,Não,0.0
paraú,Rio Grande do Norte,Não,0.0
paraná,Rio Grande do Norte,Não,0.0
lagoa de velhos,Rio Grande do Norte,Não,0.0
lagoa de pedras,Rio Grande do Norte,Não,0.0
lagoa d'anta,Rio Grande do Norte,Não,0.0
extremoz,Rio Grande do Norte,Não,0.0
goianinha,Rio Grande do Norte,Não,0.0
galinhos,Rio Grande do Norte,Não,0.0
frutuoso gomes,Rio Grande do Norte,Não,0.0
francisco dantas,Rio Grande do Norte,Não,0.0
florânia,Rio Grande do Norte,Não,0.0
fernando pedroza,Rio Grande do Norte,Não,0.0
felipe guerra,Rio Grande do Norte,Não,0.0
espírito santo,Rio Grande do Norte,Não,0.0
são josé do vale do rio preto,Rio de Janeiro,Não,0.0
equador,Rio Grande do Norte,Não,0.0
encanto,Rio Grande do Norte,Não,0.0
doutor severiano,Rio Grande do Norte,Não,0.0
currais novos,Rio Grande do Norte,Não,0.0
cruzeta,Rio Grande do Norte,Não,0.0
coronel joão pessoa,Rio Grande do Norte,Não,0.0
