nomeLocalidade;estado;Cidade tem Aluno;Probabilidade;População residente;Densidade demográfica;Porcentagem de Jovens;Porcentagem de Ativos;Porcentagem de Idosos;Taxa de Urbanização;Taxa de Saneamento Básico;Ativos com Baixo Nível Educacional;Ativos com Médio Nível Educacional;Ativos com Alto Nível Educacional;Percentual de estrangeiros ao total de Trabalhadores;PIB Municipal;Estudantes Ensino primário;Estudantes Ensino secundário;Estudantes Ensino superior;Óbitos até 1 ano de idade por milhares de habitantes;Óbitos por milhares de habitantes;Nascidos por milhares de habitantes;Hospitais por milhares de habitantes;Médicos por milhares de habitantes;% de pobres;IDH;Percentual de trabalhadores especializados;Valores de Importação por 10,000 habitantes;Valores de Exportação por 10,000 habitantes;Número de hotéis por 10,000 habitantes;Percentual de empresas do setor primário em relação ao total;Percentual de empresas do setor secundário em relação ao total;Percentual de empresas do setor terciário em relação ao total;Percentual de trabalhadores do setor primário em relação ao total;Percentual de trabalhadores do setor secundário em relação ao total;Percentual de trabalhadores do setor terciário em relação ao total;Média Salarial;Produtividade;Taxa de desemprego dos jovens;Taxa de desemprego;Número de trabalhadores(Comerciais, hotéis e restaurantes) por 1,000 habitantes;Número de ativos culturais e de lazer por 10,000 habitantes
joão pessoa;Paraíba;Sim;0,9986413;0,53150594;1,7178175;0,09571977;-0,6261265;0,087108776;-0,14319716;0,3678409;0,45010528;0,36739174;0,6416518;0,17947416;1,1312186;0,29187164;0,42129102;1,6010671;-0,33356717;-0,42417586;0,4794198;0,94386256;0,18456131;-0,22638132;-0,13056135;0,7595515;0,20556216;0,15330403;0,10323499;-0,60453415;0,05617018;0,41645423;-0,79230267;-0,004218838;0,3537037;-0,3668479;-0,11087005;-0,4907405;0,12189975;-0,22774771;0,12917112
uberlândia;Minas Gerais;Sim;0,9985336;0,3145108;-0,56958705;0,18472889;0,28800774;0,21545584;0,17103687;-0,75096905;0,23625721;0,6901177;0,42956313;-0,5531128;1,117518;0,20426911;0,48773763;1,6732712;-0,24064708;0,33313563;-0,3106676;1,3311439;-0,042791404;0,15828522;1,0512079;0,17558144;0,30477858;-0,08057231;0,050374515;0,50419056;-0,009246148;0,053690813;0,49092627;-0,013335421;-0,4213091;-0,2832964;0,15134089;0,029410478;-0,04843987;-0,28503147;0,19573157
são josé dos campos;São Paulo;Sim;0,99790096;0,77390826;1,2441883;0,17260496;0,42382503;0,09808757;-0,016310269;-0,45114854;0,468962;0,17228015;0,56593096;0,619968;0,86699766;0,34547865;0,42468813;1,0695654;-0,78063476;0,10743414;0,70285416;0,8066381;0,17454042;0,10736955;-0,18631102;0,9633887;-0,39202788;-0,27381057;0,064164735;-0,7854816;-0,055985827;-0,37763292;-0,3418889;-0,037412494;-0,28379878;0,6671832;0,165374;0,018142821;0,021057758;-0,27038193;0,082158975
bragança paulista;São Paulo;Sim;0,9976829;-0,031601425;0,839626;0,12289247;0,38606167;-0,05497042;0,24243231;0,31225914;0,11551035;0,064589076;0,16585466;0,16513479;1,4006308;-0,04768263;0,12739329;1,1233965;-0,45503408;-0,7028449;0,28857717;1,2779726;-0,02504867;-0,075813256;-0,19027571;0,46467617;-0,32910526;-0,036918383;0,112215206;0,73100054;0,15227093;0,5211598;0,61764896;-0,073036484;-0,3282631;0,25188017;0,10419492;-0,017961595;-0,19692038;-0,4124361;0,16545537
são bernardo do campo;São Paulo;Sim;0,99766004;0,8459067;1,8061646;0,12259291;0,40782824;0,14502737;0,025893616;-0,07159225;0,4485467;0,53004444;0,5587899;0,5609285;0,76539326;0,12583226;0,42139727;2,0042305;-0,14293854;0,1740244;-0,3932995;-0,57175165;0,16281895;0,1379268;-0,17127843;0,5283611;-0,2465432;-0,13444024;0,07792672;-0,7925496;0,042344503;-0,39624625;-0,83646935;-0,043839432;-0,3303469;0,89132303;0,09361875;0,08048964;0,18458709;-0,34697017;0,101339474
santo andré;São Paulo;Sim;0,9975198;0,86698;1,9768349;0,45837185;0,5452872;-0,038925;-0,57187784;-0,32871014;0,5048883;0,37393746;0,6940305;0,3651489;0,6567036;0,32019058;0,42538235;2,0476155;-0,25270873;-0,06400521;0,6372249;-0,57036644;0,22118147;-0,0633687;-0,17160502;0,19677855;-0,124800585;-0,11832272;0,102067746;-0,58846396;-0,005383892;-0,33414993;-0,6709353;0,050958812;-0,3051207;0,5562679;0,007658668;0,054971002;0,1390751;-0,38070953;0,09461399
campo limpo paulista;São Paulo;Sim;0,9972796;-0,053735875;1,9344847;-0,16373374;0,29265866;-0,023547903;-0,44130686;0,5558961;0,20647947;0,06878485;0,53983814;-0,04873871;1,2994591;-0,2130639;-0,045143288;0,8132925;-0,06189349;0,64094067;-0,369882;-0,72011256;-0,115359314;0,13546197;-0,24474056;0,37287515;-0,3393543;-0,16601728;0,1131863;-0,41736338;0,07447094;0,37349233;-0,14956065;-0,026117256;0,5172952;1,1404511;-0,03992194;0,12885003;0,228362;0,7515939;0,06575338
anápolis;Goiás;Sim;0,9972363;0,021787126;0,9868679;-0,24639253;-0,63888085;0,18351889;0,036943056;0,19966337;0,17248137;0,70250106;0,032140937;-0,2572219;1,0716072;0,14924483;0,44362026;0,83677125;-0,036801346;-0,04847657;0,46225306;1,143376;0,20268905;0,08006821;-0,5967379;0,56702405;-0,23541898;-0,04149754;0,1287157;0,7132375;0,115624145;0,48059937;-0,2116498;-0,096482985;0,105076455;-0,36348197;0,20066361;0,020283887;-0,05834312;0,23210019;0,14072984
itajaí;Santa Catarina;Sim;0,99712;0,03891741;1,3616419;0,10944343;0,3973447;0,14128663;0,31571126;0,15900052;0,04550869;-0,26078764;0,18462685;0,15632336;0,49043453;-0,07000161;0,039367564;1,1986423;-0,093128935;0,00047911983;0,52322084;-0,53618157;-0,010308153;0,15010163;0,88926053;0,39243603;0,030835155;0,16125415;0,10720168;0,6116344;-0,020700078;-0,21023205;0,28688818;-0,02438293;-0,50893104;0,45533046;0,20680468;0,041504327;-0,02430413;-0,34975088;0,17037855
nilópolis;Rio de Janeiro;Sim;0,9970789;0,02876847;2,4561183;0,36751884;0,6380572;0,102255784;-0,44387913;-0,15786381;0,74877685;0,19948678;0,14978507;0,5687;1,5907081;-0,1631183;0,34535107;0,85722536;-0,108409986;-0,5009046;0,66489446;-0,35895345;0,23243925;0,1294976;-0,39977074;0,31535462;0,33900076;0,60581666;0,12124373;-0,5189337;-0,087940335;-0,24774891;-0,49454394;0,0455295;-0,46986285;-0,33455476;-0,041605234;-0,34914;0,123065345;0,5026268;0,08766266
