nomeLocalidade;estado;Cidade tem Aluno;Probabilidade;População residente;Densidade demográfica;Porcentagem de Jovens;Porcentagem de Ativos;Porcentagem de Idosos;Taxa de Urbanização;Taxa de Saneamento Básico;Ativos com Baixo Nível Educacional;Ativos com Médio Nível Educacional;Ativos com Alto Nível Educacional;Percentual de estrangeiros ao total de Trabalhadores;PIB Municipal;Estudantes Ensino primário;Estudantes Ensino secundário;Estudantes Ensino superior;Óbitos até 1 ano de idade por milhares de habitantes;Óbitos por milhares de habitantes;Nascidos por milhares de habitantes;Hospitais por milhares de habitantes;Médicos por milhares de habitantes;% de pobres;IDH;Percentual de trabalhadores especializados;Valores de Importação por 10,000 habitantes;Valores de Exportação por 10,000 habitantes;Número de hotéis por 10,000 habitantes;Percentual de empresas do setor primário em relação ao total;Percentual de empresas do setor secundário em relação ao total;Percentual de empresas do setor terciário em relação ao total;Percentual de trabalhadores do setor primário em relação ao total;Percentual de trabalhadores do setor secundário em relação ao total;Percentual de trabalhadores do setor terciário em relação ao total;Média Salarial;Produtividade;Taxa de desemprego dos jovens;Taxa de desemprego;Número de trabalhadores(Comerciais, hotéis e restaurantes) por 1,000 habitantes;Número de ativos culturais e de lazer por 10,000 habitantes
são sebastião do caí;Rio Grande do Sul;Não;0,0019787306;0,08588927;0,7324552;0,070069544;0,5092099;-0,1957335;0,24964224;0,38981566;-0,5375821;-1,3624656;-0,62711805;-0,61568594;-0,16864154;-0,18620127;-0,19138607;-0,9920549;-0,10866751;-0,4742331;-0,15059057;-0,21522593;-0,21665101;0,01653399;-0,46986055;-0,6167509;0,37593368;-0,00025857426;0,05651643;-0,6033226;-0,008146017;0,28531918;-0,1472884;0,21883461;0,6021914;-0,6161299;-0,12641843;0,018770456;-0,039956536;-0,5427531;0,088409714
pará de minas;Minas Gerais;Não;0,0019783888;-0,21647586;-0,53282547;0,013795963;0,11431035;-0,054247294;0,16346219;-0,658705;-0,9382354;-2,4624546;0,4155071;-0,40184802;0,41833568;-0,038792457;-0,19188057;-1,0863543;-0,2879995;0,039691772;-0,8731212;0,83798414;-0,07433064;0,08502975;-0,62234175;-0,43149188;0,5664302;0,19859391;0,07941641;0,35806742;0,11876061;0,25980103;0,6448352;-0,23123182;0,12656559;-0,41615635;-0,081975766;0,0066519007;-0,046955045;-0,41855964;0,10504377
corumbá;Mato Grosso do Sul;Não;0,0019484876;-0,013324788;-3,2978768;-0,724562;-0,67567843;0,15133908;0,1149304;-1,3083373;-0,4080441;0,13747005;0,013821835;-0,20637907;0,85749036;-0,0823755;-0,16776684;0,010315534;-0,5588675;-0,040170945;0,37936428;1,0288963;-0,21105891;-0,19071904;-0,27128989;-0,52548796;-0,45570552;-0,1903758;-0,31352782;0,4291318;-0,41588834;0,46467796;0,73719;-0,11333968;0,06074483;-0,385219;0,06610417;0,06980686;0,07400724;0,32416415;0,10758652
salto;São Paulo;Não;0,0019428984;-0,13052225;1,3593214;0,036436345;0,25177705;-0,118291736;-0,28951225;-1,1418743;-0,03318999;0,24996258;-0,07844425;-0,55126;0,8764794;-0,22405225;-0,059709735;1,0614269;-0,7755256;0,07368847;-0,6304223;-1,8507435;-0,20858966;-0,00602323;-0,75179803;-1,0212758;-0,66003245;-0,47712407;0,056869537;-0,8885971;0,12652664;0,4146287;-0,29986203;-0,06901572;-0,13826925;0,57460696;0,09740087;0,075965576;0,055971865;-0,5518539;0,113082856
lindóia;São Paulo;Não;0,0019194796;-0,33037758;-0,425791;0,03625415;-0,22810368;-0,348769;-0,33042026;0,25907275;0,004085674;-1,8511405;-0,08123268;-0,18356763;-0,62026983;-0,1859585;-0,30483744;-1,0628481;0,092877194;0,56461155;-0,5812162;0,47404784;0,041276548;0,10443768;-0,09107343;0,065358624;-0,60564667;-0,1527193;-0,23853956;0,49333975;0,018585835;0,23446536;0,43588504;0,13270706;0,48600808;-0,36303812;-0,46879256;-0,00568459;-0,3569873;0,29157856;-0,46156734
santa rosa;Rio Grande do Sul;Não;0,0018993013;-0,27928674;-1,0314589;0,06488897;0,30115953;-0,13107525;0,20786628;-1,271626;0,013222373;-0,42016384;-0,031438515;-0,50623995;0,83009696;-0,35154104;-0,09311137;0,24964964;-0,16424866;-0,921526;-0,49468577;-1,3691509;-0,20512481;0,04932555;0,31922936;-0,34024242;0,44943306;-0,07305802;0,07076319;0,5746929;0,03724475;0,32289174;-0,08754953;-0,14478491;-0,1982816;-0,47167474;-0,011406706;-0,006542852;-0,061977394;-0,37008947;-0,008752346
videira;Santa Catarina;Não;0,0018949294;-0,32577434;-0,83061594;-0,26198974;-0,5426469;0,17394191;0,1738465;-0,56039375;-0,34412426;-2,1894732;-0,06388554;-0,05366972;0,54699945;-0,32431167;-0,19107996;-0,032826856;-0,10445702;0,1621885;0,3997961;1,0173739;-0,18442234;0,12132687;-0,19024631;-0,30511904;0,50902903;-0,14572456;-0,29417866;0,26506916;0,104033925;0,27808526;0,57630605;-0,229593;-0,6781144;-0,5311973;0,08441857;0,01456613;-0,7128831;-0,41667876;-0,4704618
edéia;Goiás;Não;0,001891313;-0,31140724;-3,4020474;0,053496927;0,07247821;-0,14874278;0,12993835;-0,34737125;-0,1107816;-0,5057287;0,49104202;-0,5102802;-0,7021829;-0,1625828;-0,29095864;-1,0203344;-0,4617728;0,6589259;-0,7685087;0,8185857;-0,098760076;0,05701612;-0,24487667;0,004612882;-0,6744403;-0,24649084;0,09880357;0,11629597;-0,39228398;0,32248735;0,518001;-0,17521915;0,426059;0,8256271;0,119691834;-0,010362008;-0,1214733;0,35066193;0,084081694
sumaré;São Paulo;Não;0,0018798574;-0,08183046;1,563511;-0,08955823;0,31970114;-0,80823404;-0,12601064;-1,1624651;-0,03351807;0,26800263;0,3741177;-0,71664387;-0,3205772;-0,15218198;0,19079852;-1,2023729;-0,39604566;0,09775722;-0,5604728;-1,3513579;-0,25697947;0,12191752;-0,5237821;-0,95276463;-0,42297226;-0,33124694;0,081775144;-0,61303383;0,09439917;0,41836035;-0,32145986;-0,10103959;-0,15955359;1,0084643;0,12543692;0,066259764;0,18961596;0,14544766;0,053652167
salto de pirapora;São Paulo;Não;0,0018469125;-0,06314576;-0,746752;0,014509542;-0,95674926;0,0014015315;0,12833482;0,161838;-0,15501809;0,3970267;-1,5695008;0,34668368;-0,7309206;-0,23681067;-0,38413262;-1,5308775;-0,5099432;-0,08220907;-0,41860387;0,92663693;-0,017358042;-0,22491206;-0,13635616;-0,6406858;-0,41543484;-0,1613904;0,105204895;0,42069256;-0,09148434;0,40578356;0,52335006;-0,09533864;0,30496576;-0,20950769;0,05368819;-0,5301465;0,092596635;0,3694322;0,07253769
araucária;Paraná;Não;0,0018415028;-0,19440317;0,34472442;-1,1563102;-0,83797884;-0,5954436;0,13164051;0,4065385;-0,58163196;0,41632855;-1,7408006;-0,4640916;-0,06952087;-0,09506423;-0,014469354;0,37864217;-0,882971;0,16186555;0,23118806;-1,3944099;-0,016229711;-0,028122213;-0,4750448;-0,5903181;-0,38067043;-0,0047492944;-0,23913756;0,5214034;-0,006294162;0,33369824;-0,5839007;-0,006912172;0,5222351;0,9278851;0,1303051;0,010068355;-0,1912169;0,38784277;0,059790954
cachoeiro de itapemirim;Espírito Santo;Não;0,0018392308;-0,120928966;0,2763814;0,097855955;-0,556359;-0,011078309;0,119753;-0,16751571;-0,8981383;0,5298004;0,43107176;-0,9681676;1,1921213;-0,046630282;0,0438829;0,5706299;-0,92351747;-0,86006415;0,42711243;-0,75511944;0,14660771;-0,14987145;-0,5584709;-1,0068723;0,23652074;-0,28265962;0,07614312;-0,5936546;-0,19564556;0,33005282;-0,36772498;-0,12571765;-0,71095103;-0,64662176;-0,10829426;0,09171476;0,11760131;-0,37776658;0,1577423
não-me-toque;Rio Grande do Sul;Não;0,0018383687;-0,32580072;-2,8036683;0,29516885;0,2591883;-0,33782038;0,21111706;-0,47486594;0,070282176;0,5331755;-0,025621431;-0,025831053;-0,5245502;-0,20562848;-0,35480607;-1,27052;-1,0198052;0,6196798;-0,6884329;0,690191;-0,14008899;-0,044983275;-0,48191434;-0,53116024;0,02140077;-0,13275196;0,08766058;0,4656491;0,040341284;0,21456999;0,6133397;0,06464346;0,43394226;0,24501447;0,15009977;-0,03171395;-0,50951743;-0,27158105;-0,40164316
itabirito;Minas Gerais;Não;0,001819944;-0,15530089;-1,5731376;0,120561816;0,116839945;0,013388219;0,14532878;0,20477718;-0,17209421;-0,39790282;0,6050274;-0,6531126;0,94715697;-0,30254957;-0,2515288;-1,4445579;-1,0722451;-0,04036548;0,45905373;-0,56537336;0,003437657;0,017657518;-0,18264602;-0,8358249;0,41384417;-0,019644506;-0,32630634;-0,00973247;-0,057105444;0,47430962;-0,056075685;-0,1036859;0,5298149;-0,5545318;0,12395432;-0,0048580896;0,004070037;-0,4983366;-0,4996413
manaus;Amazonas;Não;0,0018106945;0,48753765;-0,82562774;-1,8422416;-1,1523695;-0,47487754;-0,10992266;0,10203548;0,25300974;-0,36180934;-0,32707804;0,035813592;0,7077549;0,38225555;0,41634396;0,9484578;-0,53736234;0,09232451;0,29961064;-1,485955;0,12101358;-0,2084257;-0,18011919;0,5880055;-0,48253047;-0,17462032;0,040030606;-0,8157488;-0,05778317;-0,54670507;-1,0536572;-0,04434257;0,04217359;-0,12754652;0,13886872;0,061197184;0,08591501;0,33768383;0,066255905
gaspar;Santa Catarina;Não;0,0018010674;-0,20710166;-0,1543387;-0,029650142;0,3507355;-0,2683534;0,20177141;-0,32813808;-0,34326223;-1,313529;0,6727085;-0,40160602;0,37155277;-0,25752622;-0,12041189;-1,3377749;-0,020960122;0,5752323;-0,49356624;-1,0121927;-0,13838038;0,15765241;0,10986046;-0,5723832;0,3027561;0,022466939;0,06760941;-1,0583032;-0,06825651;0,19516677;-0,81664634;0,39141434;0,5074257;0,18562162;0,026528839;-0,032440584;-0,46292105;-0,43113375;0,122591265
armação dos búzios;Rio de Janeiro;Não;0,0017960294;-0,22625695;0,9198914;0,093062684;0,445913;-0,3742459;-0,46113053;-0,94546914;-0,20985751;0,16008224;-0,15573433;-0,26050168;0,6985019;-0,27154323;-0,227477;-1,8420548;-0,63760483;0,018918905;0,7614418;0,7106502;0,16084412;0,11892138;-0,54584414;0,7817891;-0,13885349;0,1960576;-0,3186644;-0,8860471;-0,24717079;-0,4381257;-0,7445554;0,035525247;-0,52872634;-0,3533469;-0,05685732;0,020608522;-0,017433628;-0,51185215;-0,33344677
guarapari;Espírito Santo;Não;0,0017883802;-0,027994914;-0,6814779;0,007961289;-0,88222736;-0,10140841;0,13442867;0,31907317;-0,13738383;0,6064604;0,13361582;-0,304916;0,8898696;-0,09218267;-0,10099199;-0,11784327;-0,7745971;0,579731;0,029832624;0,749245;-0,2816661;-0,30840108;-0,6503697;-1,3162117;-0,55615073;0,20516981;-0,33565584;0,41160437;0,029193666;-0,88627094;-0,1400615;-0,07974248;-0,68589634;-0,4808209;-0,5431092;0,09677787;0,13628155;-0,55141854;0,092689715
feira de santana;Bahia;Não;0,0017624074;0,032513365;0,64688426;-1,2992183;-1,0812461;0,11800982;0,09813371;0,009717416;0,06595826;-0,22612347;-0,8951987;-0,3297385;-0,014836955;0,17262188;0,37220997;0,94219965;-0,71356386;-0,025871672;0,31631377;0,8508735;-0,34615204;-0,23668218;-0,64178795;-1,0676382;0,1163566;0,033364486;0,09044053;0,4190117;0,023563892;-1,0103251;-0,4475325;-0,078567594;-0,6385527;-0,46034196;-0,28875998;0,0601755;-0,016385552;-0,20217073;0,022831604
piracicaba;São Paulo;Não;0,0017399207;-0,16997866;0,2884053;0,013156557;0,26856154;-0,02887495;-0,13448288;-1,4024875;-0,062137563;-0,2271735;0,00036782376;-0,16736685;0,57492137;0,0039097406;0,3894532;0,96772987;-0,5820879;-0,12594238;-0,523122;-0,88524365;-0,19225039;0,011509596;-0,79329795;-0,50578177;-0,55443835;-0,39935267;0,07845633;-0,32027364;-0,045748316;-0,22725919;-0,2597168;-0,12787007;-0,43216485;0,6507723;0,14201787;0,0044256593;-0,11835399;-0,47819692;-0,27246645
jaboatão dos guararapes;Pernambuco;Não;0,0017276362;0,36543933;1,3825482;-0,23608182;-0,64259094;0,05885036;0,008234123;-1,37762;0,008081194;-0,10108341;0,06677789;-0,24100932;-0,15781319;0,087990165;0,20844965;0,74768925;-0,5026403;0,4452147;-0,37273794;-1,0755813;-0,17307203;-0,22349407;-0,14190535;-1,1255038;0,3132113;0,1174601;0,09032556;-0,7299082;0,02958294;-0,6579502;-0,36547706;-0,019921971;-0,732106;-0,64418364;-0,15093876;-0,49483967;0,01551368;0,53644794;0,035168182
santa cruz do sul;Rio Grande do Sul;Não;0,0017152048;-0,1455171;-0,9738049;0,37502864;0,3092394;-0,06698341;0,14117108;0,25978112;-0,07951419;-1,7675726;0,15603942;-0,4697245;0,19081649;-0,08965542;-0,1316327;0,48303783;0,41206986;-1,0480559;-1,023687;0,2930848;0,0444965;0,07781488;-0,7386282;-0,14918508;0,29605153;0,08519178;0,10070333;-0,8039834;0,10278734;0,44805542;-0,0068559013;-0,19470292;-0,4835981;0,3271833;0,1360584;0,022120316;-1,4855983;-0,4258882;0,16714063
itapetininga;São Paulo;Não;0,0017146008;0,014188768;-1,30497;-0,21189539;-0,6832991;-0,0838559;0,187975;-0,048695285;-0,1844026;0,39415437;-0,06349778;-0,36201704;1,4152431;-0,068160675;0,23649158;-0,22738782;-0,37046468;-0,08194404;0,034078956;-2,3357484;-0,22342137;-0,26542976;-0,20733237;-0,8257506;-0,54228795;-0,2957941;0,06248172;0,5160348;-0,50021434;0,41222394;0,80265534;-0,06964079;-0,069809094;-0,48003244;-0,093551666;0,105559334;0,084818415;-0,40241653;0,07905052
cerquilho;São Paulo;Não;0,001709713;-0,10024159;0,8797562;0,013859438;0,39206454;-0,060358137;0,14406481;-1,1447546;0,2629141;0,5232621;0,5033382;-0,53508425;0,6503002;-0,24686736;-0,197366;-2,0184827;-0,7992062;0,690984;-0,53394425;-0,40071732;-0,21216582;-0,006483726;-0,5756895;-1,1591198;-0,5402922;-0,3447319;0,07859507;-1,1907895;0,021322735;0,2551862;0,5715576;0,003138124;0,5059721;-0,35323656;0,0016193439;-0,06797013;-0,16055797;-0,6368771;0,12707227
tijucas;Santa Catarina;Não;0,0017027047;-0,21919534;-0,6238399;-0,12651335;-0,73921746;0,13335903;0,20552424;0,1890286;0,09792069;0,33379105;0,78215027;0,15714277;-0,6503509;-0,25849816;-0,22464384;-0,98347515;-0,06956169;0,07281256;-0,18541302;-1,4251053;-0,13637564;0,071607836;0,23906925;-0,51016754;0,22470504;0,0013523996;-0,009535893;-1,2763282;-0,0094925715;0,2606853;-0,3841308;0,065744355;0,49150997;-0,3258075;0,053492427;-0,0022129845;-0,40439254;-0,6033797;0,12369998
cabo de santo agostinho;Pernambuco;Não;0,0017004237;-0,04370917;0,60874444;-0,99626213;-0,97216624;-0,37151122;0,15091974;-0,60632336;-0,014833296;-0,099991836;-1,6463213;-0,046189733;-0,123100385;-0,071237154;0,06659348;-0,9131323;-0,8034782;0,09418525;0,2331939;-0,46562046;-0,2095315;-0,26686713;-0,3632118;-0,6945653;-0,36381042;-0,09216603;0,047065638;0,5653541;0,16267422;0,5963042;0,99136037;-0,080004886;0,5694297;-0,38952163;0,11359499;-0,71192783;-0,0033716115;0,44025734;0,043796755
panambi;Rio Grande do Sul;Não;0,0016991388;-0,15003295;-1,5079813;0,07603062;0,29270312;0,055339053;0,14122194;-0,7024893;0,2621495;-0,35658714;-0,04967904;-0,05539845;0,7232991;-0,3254374;-0,24562375;-1,2818362;-1,1343877;0,08432901;-0,3416305;-0,44129643;-0,05366219;-0,06688123;-0,62670445;-0,73788077;0,49579012;-0,07898624;-0,35564947;0,59655625;0,010397646;0,25398844;-0,015063994;0,19579728;0,52655023;-0,08553269;0,022373056;-0,012339522;-0,16439436;-0,56102645;-0,052161865
mauá;São Paulo;Não;0,0016797923;0,034747552;1,5198371;-0,20024638;0,24674514;-0,6270633;-0,34693548;-0,8326416;0,025721032;0,007876017;-0,77045226;-0,6027236;-0,31450528;-0,15513083;0,2560777;-0,11089885;-0,31377223;0,09130777;-0,4089238;-1,051;-0,22268824;0,066546835;-0,55206;-1,2526057;-0,33392945;-0,2544109;0,085115746;-0,79989755;-0,020733107;0,26885068;-1,1390219;-0,07441123;0,3572763;1,1220423;-0,009477751;-0,116968215;0,07159836;0,62454355;0,05460287
raposos;Minas Gerais;Não;0,0016724293;-0,25175917;1,2596041;0,032977454;0,50372565;0,16063733;0,20147918;0,23244803;-0,72460926;0,36278015;-1,3124895;-0,7641719;-0,06348524;-0,139143;-0,20162907;-1,309405;-0,7500987;0,5143229;-0,29688245;-1,5646293;0,05195345;-0,19323741;-0,07090892;0,59630954;-0,41186002;-0,17189881;0,08860159;0,4723479;-0,19898456;-0,6839136;-0,72186846;-0,034294672;0,5159144;-0,5223624;-0,43378708;-0,016299732;-0,01824899;0,39802468;-0,21717149
telêmaco borba;Paraná;Não;0,0016716302;-0,12091311;-3,22368;-0,79834455;-0,94221264;-0,007067213;-0,15179975;0,30260304;0,07642995;0,5891918;0,4569258;-0,17338756;0,86165124;-0,29038915;-0,11189921;-1,1690478;-0,5804112;-0,097608835;0,22165944;-1,3638009;-0,20767343;-0,21041091;-0,11672691;-0,74103916;0,4201023;0,060229808;-0,2797052;0,24065624;-0,06146635;0,46491602;0,6213363;-0,06496713;0,4105425;-0,20873438;0,08981424;0,086934224;0,13096602;0,14466597;0,06017165
suzano;São Paulo;Não;0,0016688084;0,031461585;1,4692708;-1,1154408;-0,75520986;-0,3848469;0,264049;0,23213589;0,13475522;-0,0944924;0,28951296;0,4032917;-0,0040758797;-0,03534484;0,28300872;-1,0154489;-0,63541824;0,099596694;0,32543868;-1,4117962;-0,24680965;-0,3422106;0,17959678;-1,1941572;-0,38378415;-0,26419008;0,06343822;-0,7936029;-0,13615635;-0,81069815;-0,40551588;-0,04263422;-0,089674905;0,78215796;0,0033776837;-0,041565154;-0,06798387;-0,012836527;0,03862374
rondonópolis;Mato Grosso;Não;0,0016608268;-0,019024532;-3,108792;-0,9588339;-0,5809328;-0,092221685;0,14438088;-1,43318;0,1534777;0,46617866;0,06969681;-0,5621218;0,20000428;0,05589959;0,31731617;0,8107426;-0,76263756;-0,014923172;0,27227855;1,1851257;-0,26716778;0,053378507;-0,6616959;-0,44199708;-0,2353191;-0,13177465;-0,3091993;0,41974336;0,011095576;-0,23722592;0,8527124;-0,09578615;-0,5516197;-0,19825792;0,0476878;0,08996579;-0,028500456;-0,28114033;0,13368508
marialva;Paraná;Não;0,0016563026;-0,12516056;-1,5012676;0,0683738;0,38570264;-0,21958429;0,20934916;-0,1550494;0,0313692;-1,7953265;-0,04494609;0,3270414;-0,53112954;-0,18373999;-0,23867343;-1,1956859;-0,2928126;0,6054857;-0,49920171;-1,1166095;0,00838093;0,08035443;-0,21521482;-0,31674302;0,5645313;0,20345022;0,055349074;0,15942305;0,09506938;0,277701;0,45646688;-0,21430163;0,19817953;-0,43550575;-0,12413902;-0,003006909;-0,4184715;0,12664409;0,081981435
assaí;Paraná;Não;0,0016466853;-0,28171173;-2,8952277;0,09517564;-0,9549763;-0,3078079;0,1988951;-0,10674555;0,034580857;0,48157588;0,36262956;-0,35876194;-0,82086235;-0,20620294;-0,35397786;-1,7741958;-0,49213612;-0,028929597;-0,20332934;0,5372798;-0,050604444;-0,18118967;-0,23354463;-0,3865715;0,25154224;0,16894788;0,0912756;0,5289432;0,012432494;0,4213131;0,4871966;0,038204893;0,45489603;-0,3509674;-0,13126181;0,009972456;-0,114697665;0,3090835;0,05220937
porto real;Rio de Janeiro;Não;0,001642779;-0,24120729;0,9132094;-1,211794;-1,0147514;0,1884667;-0,18298674;-0,45662525;-0,016347254;0,33780465;-1,603812;-0,61112213;-0,081271276;-0,17048728;-0,3854032;-1,4723288;-0,55676603;0,518317;0,19140482;-1,3980576;-0,00023926795;-0,11868722;-0,42095965;0,5133309;-0,10630727;0,032987848;0,02996497;-0,007999455;0,040183175;0,33546922;-0,547931;0,098186836;0,4639024;0,8172247;0,038046002;0,053487003;-0,07652498;0,3508265;0,058870368
porto belo;Santa Catarina;Não;0,0016062135;-0,54396087;0,13444501;0,061084405;0,44498622;0,25186208;0,18678965;-0,3359562;-0,07039825;-1,6042523;0,037333637;-0,03192044;-0,0827065;-0,21503124;-0,29692844;-1,0787908;-0,04978913;0,5183712;-0,53492945;-1,7296172;-0,011873701;0,10024411;0,21791397;-0,55645543;0,39669263;0,12833337;-0,19132474;0,4059617;-0,040415753;0,3136002;0,5780832;-0,18947855;-0,34663433;-0,49338377;0,15780622;-0,01471113;-0,39850983;-0,49765855;-0,34125942
cruz das almas;Bahia;Não;0,0015883038;-0,071358025;1,0194083;-0,38055784;-1,376147;-0,0098183695;0,03657627;-1,1463611;0,055195596;-0,14639267;0,38372564;-0,23577622;-0,5452352;-0,1947223;-0,19987573;0,45501763;-0,67676514;0,081051975;0,1321129;0,76184726;-0,2928567;-0,21151821;-0,5210491;0,19774908;0,15707195;-0,14566085;0,08070944;0,33752823;-0,3827762;-0,741777;0,42907983;-0,031130608;-0,6729916;-0,5290278;-0,56830406;-0,5043562;-0,02261496;-0,31580645;0,062097948
são miguel do oeste;Santa Catarina;Não;0,0015745575;-0,31987327;-0,8294114;0,11914711;0,55881655;-0,11017608;0,10740213;-0,78129965;0,10829316;0,43937328;-0,012532048;-0,773204;-0,67529595;-0,31259644;-0,21331064;0,24825636;-0,3811127;-0,47541088;0,6376973;0,5282494;-0,3043185;-0,0076489225;0,46711898;0,042595923;0,01177088;0,10678164;-0,1797864;-1,2142586;-0,061723817;0,30231556;-0,023045987;-0,16841651;-0,41155806;-0,5596607;-0,0028749732;0,016971901;-0,9012586;-0,2949691;-0,4234602
arapongas;Paraná;Não;0,0015679372;-0,16957608;0,3415954;0,0714317;0,35065645;-0,03545598;-0,08496717;0,117821544;-0,4564765;-0,6242441;-0,031813808;0,10940624;1,0086986;-0,23157164;-0,023602152;0,004341061;-0,8649248;-0,9622495;-0,38023093;-1,2901957;-0,24625577;-0,03834309;-0,11991517;-0,8993666;0,33416006;-0,17668729;0,07714708;-0,4527007;-0,007654815;0,25968054;0,15798715;0,07753433;0,5169567;-0,7162358;0,06868005;-0,032634333;-0,76307;-0,74124414;0,106686264
tanabi;São Paulo;Não;0,0015613001;0,08232332;-3,5654993;0,33382955;0,40707013;-0,38529795;0,12151796;0,1719833;-0,09495253;-0,78378093;0,70037365;0,21099614;-0,54608065;-0,18435407;-0,24319647;-1,269509;0,21166913;-0,05394602;-0,5934993;-0,20942849;-0,13359441;-0,00041980576;-0,1258576;-0,1533748;-0,7192402;-0,3637255;0,06004718;0,03337445;0,116647705;0,24071804;0,49116978;0,11018537;0,48218572;-0,4061573;-0,13228318;-0,02816338;-0,07152484;0,4111819;0,12772778
ivoti;Rio Grande do Sul;Não;0,0015519557;-0,55380934;0,7985796;0,43289185;0,716174;0,19998652;0,11670464;-0,38815367;0,09682232;-1,376898;-0,049356118;0,36940473;-0,08325503;-0,25897992;-0,18592021;-0,64433664;-1,1023002;-0,22819641;0,5317912;-0,2380619;-0,237686;0,02670125;-0,47170672;-0,726433;0,15730448;-0,14328693;-0,24576612;-1,1636163;-0,033330213;0,13540632;-0,38889822;0,06230799;0,47073027;-0,609374;0,03583298;-0,03396952;-0,48393577;0,20230494;-0,46256876
lagoa santa;Minas Gerais;Não;0,0015339814;-0,14733367;0,87181467;0,08521853;0,34107327;0,018715966;0,24363828;-0,1018901;0,2498266;0,43101433;-0,082439214;0,21796685;-0,42148837;-0,19340181;-0,29929432;-1,7535142;-0,32203335;-0,2800434;-0,61584884;-2,0820363;-0,06658678;0,019804547;-0,231589;-0,44857743;0,079428986;-0,04893358;-0,30052996;0,30861795;0,11460257;0,3133971;-0,31878033;-0,08743416;-0,17425886;-0,5150933;-0,0845082;-0,0039172703;-0,024646237;-0,5492902;0,089787126
abreu e lima;Pernambuco;Não;0,0015276538;-0,030916987;1,5580885;-0,23430155;-0,8787537;0,10830358;-0,0075610373;-0,26012596;-0,0066449028;-0,0021616332;-1,5745692;-0,59792775;-0,25225085;-0,07440447;-0,06349224;-1,1581943;-0,28834856;0,39262804;-0,26330236;-0,5444433;-0,08923988;-0,20142604;-0,14413336;0,64054614;0,24446559;0,03333104;0,092120446;-0,8873604;0,050916325;0,33101186;-0,8138846;-0,10867584;-0,0826681;-0,5322528;-0,33201095;-0,44329855;0,036387946;0,54698163;0,06486956
itumbiara;Goiás;Não;0,0015221064;-0,16697492;-3,4954748;0,026977496;0,186675;-0,113324635;0,11410392;0,28404477;-0,39112255;0,052239858;-0,015812146;-0,7177702;1,3592763;-0,09035756;-0,1337746;-0,06555957;-0,45972306;-0,10060495;-0,3909885;0,98423266;-0,17472765;0,10683824;-0,64200133;-0,97614646;-0,62601846;-0,26663664;-0,32978997;0,42665175;-0,4361608;0,44633287;0,6896391;-0,11632345;0,00020727096;-0,4622476;0,09873168;-0,033400632;-0,12421104;-0,35971767;0,13657273
itapissuma;Pernambuco;Não;0,0015213129;0,09407694;0,9596027;-0,93146634;-1,328839;0,0027602369;0,19415255;-0,39556554;-0,5500594;-0,26663154;-1,5786707;-0,45334756;-0,36382174;-0,13734695;-0,22097582;-1,2913444;-0,4294539;0,42671362;0,19253357;-1,3337647;-0,12937503;-0,25491333;-0,21894395;-0,37286162;0,31372428;0,013189733;0,071216464;0,29849306;0,027076479;0,24977693;0,5726841;0,080945715;0,5339196;0,53146386;0,061436445;-0,63076985;0,04769313;0,39411628;0,045707606
mairinque;São Paulo;Não;0,0015178778;-0,049948856;0,6556313;-0,2886751;-0,6683757;0,20511495;0,106980465;0,4383298;-0,038831756;0,18925455;-0,63267034;-0,3191669;0,97688156;-0,22539414;-0,2540433;-1,7823428;-0,5289836;0,43630627;-0,32944977;-0,42528677;-0,21283959;0,09664147;-0,044560805;-1,0716213;-0,44225287;-0,24208233;0,051463388;-0,95137304;-0,128255;-0,7756528;0,083081596;-0,04113526;0,50761664;0,059392132;0,05813676;-0,44280738;0,056777384;0,13445078;0,060560305
cambuí;Minas Gerais;Não;0,0015111127;-0,20299062;-0,40433568;0,29995665;0,5185956;-0,42125395;0,13952804;0,24919337;0,004986002;-0,8125713;0,69774485;-0,24016619;-0,31887147;-0,29984447;-0,18317871;-1,4609663;-1,3056765;-0,42168272;-0,33364943;-0,5345934;-0,025115527;0,053708866;0,056509472;-0,5477326;0,09528399;0,21679978;-0,04203883;0,42532393;0,1043983;0,40582713;-0,040863387;-0,07721591;-0,20111695;-0,5030792;-0,12348216;-0,015464113;-0,14678314;-0,55339676;0,16461006
juazeiro;Bahia;Não;0,0014994394;-0,04190536;-2,668536;-0,6999067;-0,8814153;-0,03959389;0,17605333;0,25501522;-0,49899113;0,35385138;-1,6363513;-0,5777307;0,81351644;-0,083531804;0,1316965;0,021828506;-0,49317893;0,16759957;0,32566807;1,0156211;-0,01948402;-0,22620797;-0,59082574;-0,3184193;0,05848182;0,052373085;0,10028274;0,37403747;-0,37768665;-0,82884586;0,8076159;-0,08017725;0,116487496;-0,25858283;-0,567824;0,025470536;-0,007835869;0,2744779;0,035587173
tatuí;São Paulo;Não;0,0014852011;-0,043885842;0,5306822;0,024769908;-0,8601191;-0,04208736;0,18752605;-0,15204455;-0,43652257;-0,34018728;0,34936357;0,2622182;1,2788756;-0,049637385;0,01447008;-1,536182;-0,6514189;0,10193308;0,078554325;-1,5336448;-0,054947577;0,13733615;-0,5224422;-1,2548518;-0,53185546;-0,3041912;0,06873855;0,279359;-0,12210981;-0,183401;0,68175846;-0,12480237;-0,1985472;-0,26082122;0,05264871;-0,019838896;-0,12535919;-0,56687796;0,06661481
