nomeLocalidade;estado;Probabilidade
maxaranguape;Rio Grande do Norte;0,142857143
dom expedito lopes;Piauí;0,142857143
martins;Rio Grande do Norte;0,142857143
major sales;Rio Grande do Norte;0,142857143
esperantina;Piauí;0,142857143
macaíba;Rio Grande do Norte;0,142857143
são pedro do ivaí;Paraná;0,142857143
barra do guarita;Rio Grande do Sul;0,142857143
concórdia do pará;Pará;0,142857143
jericó;Paraíba;0,142857143
igaracy;Paraíba;0,142857143
imaculada;Paraíba;0,142857143
ingá;Paraíba;0,142857143
itabaiana;Paraíba;0,142857143
itaporanga;Paraíba;0,142857143
itapororoca;Paraíba;0,142857143
itatuba;Paraíba;0,142857143
jacaraú;Paraíba;0,142857143
joca claudino;Paraíba;0,142857143
riachão do bacamarte;Paraíba;0,142857143
juarez távora;Paraíba;0,142857143
juazeirinho;Paraíba;0,142857143
junco do seridó;Paraíba;0,142857143
juripiranga;Paraíba;0,142857143
lagoa;Paraíba;0,142857143
lagoa de dentro;Paraíba;0,142857143
lagoa seca;Paraíba;0,142857143
lastro;Paraíba;0,142857143
lajeado do bugre;Rio Grande do Sul;0,142857143
gurinhém;Paraíba;0,142857143
guarabira;Paraíba;0,142857143
gado bravo;Paraíba;0,142857143
catolé do rocha;Paraíba;0,142857143
caturité;Paraíba;0,142857143
conceição;Paraíba;0,142857143
conde;Paraíba;0,142857143
coremas;Paraíba;0,142857143
cruz do espírito santo;Paraíba;0,142857143
cubati;Paraíba;0,142857143
cuité;Paraíba;0,142857143
cuité de mamanguape;Paraíba;0,142857143
cuitegi;Paraíba;0,142857143
curral de cima;Paraíba;0,142857143
damião;Paraíba;0,142857143
desterro;Paraíba;0,142857143
dona inês;Paraíba;0,142857143
duas estradas;Paraíba;0,142857143
lindolfo collor;Rio Grande do Sul;0,142857143
fagundes;Paraíba;0,142857143
livramento;Paraíba;0,142857143
logradouro;Paraíba;0,142857143
lucena;Paraíba;0,142857143
patos;Paraíba;0,142857143
pedras de fogo;Paraíba;0,142857143
pedro régis;Paraíba;0,142857143
piancó;Paraíba;0,142857143
picuí;Paraíba;0,142857143
pilar;Paraíba;0,142857143
pilões;Paraíba;0,142857143
pilõezinhos;Paraíba;0,142857143
pirpirituba;Paraíba;0,142857143
pitimbu;Paraíba;0,142857143
pocinhos;Paraíba;0,142857143
poço dantas;Paraíba;0,142857143
poço de josé de moura;Paraíba;0,142857143
pombal;Paraíba;0,142857143
princesa isabel;Paraíba;0,142857143
puxinanã;Paraíba;0,142857143
queimadas;Paraíba;0,142857143
remígio;Paraíba;0,142857143
pedra branca;Paraíba;0,142857143
nova olinda;Paraíba;0,142857143
malta;Paraíba;0,142857143
nova floresta;Paraíba;0,142857143
mamanguape;Paraíba;0,142857143
manaíra;Paraíba;0,142857143
marcação;Paraíba;0,142857143
mari;Paraíba;0,142857143
marizópolis;Paraíba;0,142857143
massaranduba;Paraíba;0,142857143
mataraca;Paraíba;0,142857143
matinhas;Paraíba;0,142857143
mato grosso;Paraíba;0,142857143
maturéia;Paraíba;0,142857143
mogeiro;Paraíba;0,142857143
montadas;Paraíba;0,142857143
monte horebe;Paraíba;0,142857143
monteiro;Paraíba;0,142857143
mulungu;Paraíba;0,142857143
natuba;Paraíba;0,142857143
camboriú;Santa Catarina;0,142857143
casserengue;Paraíba;0,142857143
carrapateira;Paraíba;0,142857143
maratá;Rio Grande do Sul;0,142857143
novo tiradentes;Rio Grande do Sul;0,142857143
quatipuru;Pará;0,142857143
novo barreiro;Rio Grande do Sul;0,142857143
nova santa rita;Rio Grande do Sul;0,142857143
salinópolis;Pará;0,142857143
santa bárbara do pará;Pará;0,142857143
santa isabel do pará;Pará;0,142857143
santa maria do pará;Pará;0,142857143
nova hartz;Rio Grande do Sul;0,142857143
santarém novo;Pará;0,142857143
santo antônio do tauá;Pará;0,142857143
nova candelária;Rio Grande do Sul;0,142857143
nova bréscia;Rio Grande do Sul;0,142857143
são francisco do pará;Pará;0,142857143
são joão da ponta;Pará;0,142857143
são joão de pirabas;Pará;0,142857143
nova araçá;Rio Grande do Sul;0,142857143
são miguel do guamá;Pará;0,142857143
primavera;Pará;0,142857143
palmitinho;Rio Grande do Sul;0,142857143
muçum;Rio Grande do Sul;0,142857143
ourém;Pará;0,142857143
presidente lucena;Rio Grande do Sul;0,142857143
porto xavier;Rio Grande do Sul;0,142857143
curuçá;Pará;0,142857143
poço das antas;Rio Grande do Sul;0,142857143
planalto;Rio Grande do Sul;0,142857143
igarapé-açu;Pará;0,142857143
igarapé-miri;Pará;0,142857143
pinheirinho do vale;Rio Grande do Sul;0,142857143
picada café;Rio Grande do Sul;0,142857143
mãe do rio;Pará;0,142857143
maracanã;Pará;0,142857143
marapanim;Pará;0,142857143
marituba;Pará;0,142857143
mocajuba;Pará;0,142857143
paverama;Rio Grande do Sul;0,142857143
nova timboteua;Pará;0,142857143
parobé;Rio Grande do Sul;0,142857143
terra alta;Pará;0,142857143
tracuateua;Pará;0,142857143
capim;Paraíba;0,142857143
baraúna;Paraíba;0,142857143
bayeux;Paraíba;0,142857143
belém;Paraíba;0,142857143
bernardino batista;Paraíba;0,142857143
boa ventura;Paraíba;0,142857143
bom jesus;Paraíba;0,142857143
bom sucesso;Paraíba;0,142857143
bonito de santa fé;Paraíba;0,142857143
boqueirão;Paraíba;0,142857143
borborema;Paraíba;0,142857143
brejo do cruz;Paraíba;0,142857143
brejo dos santos;Paraíba;0,142857143
caaporã;Paraíba;0,142857143
cachoeira dos índios;Paraíba;0,142857143
cacimba de dentro;Paraíba;0,142857143
cacimbas;Paraíba;0,142857143
caiçara;Paraíba;0,142857143
caldas brandão;Paraíba;0,142857143
mato leitão;Rio Grande do Sul;0,142857143
bananeiras;Paraíba;0,142857143
morro reuter;Rio Grande do Sul;0,142857143
baía da traição;Paraíba;0,142857143
tucuruí;Pará;0,142857143
vigia;Pará;0,142857143
monte belo do sul;Rio Grande do Sul;0,142857143
água branca;Paraíba;0,142857143
alagoa grande;Paraíba;0,142857143
alagoa nova;Paraíba;0,142857143
alagoinha;Paraíba;0,142857143
miraguaí;Rio Grande do Sul;0,142857143
alhandra;Paraíba;0,142857143
aparecida;Paraíba;0,142857143
araçagi;Paraíba;0,142857143
arara;Paraíba;0,142857143
araruna;Paraíba;0,142857143
areia;Paraíba;0,142857143
areial;Paraíba;0,142857143
aroeiras;Paraíba;0,142857143
assunção;Paraíba;0,142857143
riachão;Paraíba;0,142857143
riachão do poço;Paraíba;0,142857143
são joão do ivaí;Paraná;0,142857143
munhoz de melo;Paraná;0,142857143
mandirituba;Paraná;0,142857143
marilena;Paraná;0,142857143
mariópolis;Paraná;0,142857143
marmeleiro;Paraná;0,142857143
cerro grande do sul;Rio Grande do Sul;0,142857143
cerro grande;Rio Grande do Sul;0,142857143
cerro branco;Rio Grande do Sul;0,142857143
moreira sales;Paraná;0,142857143
nova américa da colina;Paraná;0,142857143
riacho dos cavalos;Paraíba;0,142857143
nova fátima;Paraná;0,142857143
nova olímpia;Paraná;0,142857143
nova prata do iguaçu;Paraná;0,142857143
nova santa bárbara;Paraná;0,142857143
capitão;Rio Grande do Sul;0,142857143
capela de santana;Rio Grande do Sul;0,142857143
capão do leão;Rio Grande do Sul;0,142857143
paiçandu;Paraná;0,142857143
lupionópolis;Paraná;0,142857143
lunardelli;Paraná;0,142857143
colinas;Rio Grande do Sul;0,142857143
lidianópolis;Paraná;0,142857143
iracema do oeste;Paraná;0,142857143
cristal do sul;Rio Grande do Sul;0,142857143
itaipulândia;Paraná;0,142857143
itambaracá;Paraná;0,142857143
itapejara d'oeste;Paraná;0,142857143
itaperuçu;Paraná;0,142857143
itaúna do sul;Paraná;0,142857143
crissiumal;Rio Grande do Sul;0,142857143
ivatuba;Paraná;0,142857143
jaboti;Paraná;0,142857143
jaguapitã;Paraná;0,142857143
japira;Paraná;0,142857143
japurá;Paraná;0,142857143
jardim alegre;Paraná;0,142857143
jataizinho;Paraná;0,142857143
jesuítas;Paraná;0,142857143
jussara;Paraná;0,142857143
paraíso do norte;Paraná;0,142857143
paranacity;Paraná;0,142857143
peabiru;Paraná;0,142857143
braga;Rio Grande do Sul;0,142857143
boqueirão do leão;Rio Grande do Sul;0,142857143
bom retiro do sul;Rio Grande do Sul;0,142857143
bom progresso;Rio Grande do Sul;0,142857143
sabáudia;Paraná;0,142857143
salto do itararé;Paraná;0,142857143
salto do lontra;Paraná;0,142857143
santa amélia;Paraná;0,142857143
santa cecília do pavão;Paraná;0,142857143
boa vista do sul;Rio Grande do Sul;0,142857143
santa izabel do oeste;Paraná;0,142857143
santa lúcia;Paraná;0,142857143
santa mariana;Paraná;0,142857143
santa tereza do oeste;Paraná;0,142857143
santo antônio do sudoeste;Paraná;0,142857143
são carlos do ivaí;Paraná;0,142857143
são joão;Paraná;0,142857143
barra funda;Rio Grande do Sul;0,142857143
rio branco do sul;Paraná;0,142857143
brochier;Rio Grande do Sul;0,142857143
pérola;Paraná;0,142857143
ribeirão do pinhal;Paraná;0,142857143
pérola d'oeste;Paraná;0,142857143
piên;Paraná;0,142857143
pinhal de são bento;Paraná;0,142857143
pinhalão;Paraná;0,142857143
piraquara;Paraná;0,142857143
cândido godói;Rio Grande do Sul;0,142857143
planalto;Paraná;0,142857143
porecatu;Paraná;0,142857143
campina das missões;Rio Grande do Sul;0,142857143
presidente castelo branco;Paraná;0,142857143
primeiro de maio;Paraná;0,142857143
quatro barras;Paraná;0,142857143
quatro pontes;Paraná;0,142857143
caiçara;Rio Grande do Sul;0,142857143
quitandinha;Paraná;0,142857143
rebouças;Paraná;0,142857143
butiá;Rio Grande do Sul;0,142857143
indianópolis;Paraná;0,142857143
imbituva;Paraná;0,142857143
cruzeiro do sul;Rio Grande do Sul;0,142857143
são sebastião de lagoa de roça;Paraíba;0,142857143
sapé;Paraíba;0,142857143
serra da raiz;Paraíba;0,142857143
serra grande;Paraíba;0,142857143
serra redonda;Paraíba;0,142857143
serraria;Paraíba;0,142857143
sertãozinho;Paraíba;0,142857143
sobrado;Paraíba;0,142857143
solânea;Paraíba;0,142857143
sousa;Paraíba;0,142857143
tacima;Paraíba;0,142857143
tavares;Paraíba;0,142857143
teixeira;Paraíba;0,142857143
tenório;Paraíba;0,142857143
triunfo;Paraíba;0,142857143
uiraúna;Paraíba;0,142857143
umbuzeiro;Paraíba;0,142857143
vieirópolis;Paraíba;0,142857143
são vicente do seridó;Paraíba;0,142857143
são miguel de taipu;Paraíba;0,142857143
abatiá;Paraná;0,142857143
são josé dos ramos;Paraíba;0,142857143
rio tinto;Paraíba;0,142857143
salgado de são félix;Paraíba;0,142857143
santa cecília;Paraíba;0,142857143
santa cruz;Paraíba;0,142857143
jaboticaba;Rio Grande do Sul;0,142857143
santa luzia;Paraíba;0,142857143
santa rita;Paraíba;0,142857143
são bento;Paraíba;0,142857143
itaara;Rio Grande do Sul;0,142857143
são francisco;Paraíba;0,142857143
iraí;Rio Grande do Sul;0,142857143
são joão do rio do peixe;Paraíba;0,142857143
são josé de caiana;Paraíba;0,142857143
são josé de piranhas;Paraíba;0,142857143
são josé de princesa;Paraíba;0,142857143
imigrante;Rio Grande do Sul;0,142857143
ilópolis;Rio Grande do Sul;0,142857143
vista serrana;Paraíba;0,142857143
agudos do sul;Paraná;0,142857143
david canabarro;Rio Grande do Sul;0,142857143
centenário do sul;Paraná;0,142857143
contenda;Paraná;0,142857143
estação;Rio Grande do Sul;0,142857143
cruzeiro do iguaçu;Paraná;0,142857143
cruzeiro do oeste;Paraná;0,142857143
doutor camargo;Paraná;0,142857143
enéas marques;Paraná;0,142857143
entre rios do sul;Rio Grande do Sul;0,142857143
fazenda rio grande;Paraná;0,142857143
figueira;Paraná;0,142857143
eldorado do sul;Rio Grande do Sul;0,142857143
floraí;Paraná;0,142857143
floresta;Paraná;0,142857143
florestópolis;Paraná;0,142857143
flórida;Paraná;0,142857143
dona francisca;Rio Grande do Sul;0,142857143
guamiranga;Paraná;0,142857143
ibema;Paraná;0,142857143
cidade gaúcha;Paraná;0,142857143
carlópolis;Paraná;0,142857143
almirante tamandaré;Paraná;0,142857143
fazenda vilanova;Rio Grande do Sul;0,142857143
alto paraná;Paraná;0,142857143
altônia;Paraná;0,142857143
guarani das missões;Rio Grande do Sul;0,142857143
anahy;Paraná;0,142857143
ângulo;Paraná;0,142857143
araruna;Paraná;0,142857143
atalaia;Paraná;0,142857143
balsa nova;Paraná;0,142857143
bela vista da caroba;Paraná;0,142857143
bela vista do paraíso;Paraná;0,142857143
boa vista da aparecida;Paraná;0,142857143
gaurama;Rio Grande do Sul;0,142857143
forquetinha;Rio Grande do Sul;0,142857143
cafelândia;Paraná;0,142857143
califórnia;Paraná;0,142857143
cambira;Paraná;0,142857143
campo magro;Paraná;0,142857143
itamogi;Minas Gerais;0,142857143
imbuia;Santa Catarina;0,142857143
presidente tancredo neves;Bahia;0,142857143
água doce do maranhão;Maranhão;0,142857143
arari;Maranhão;0,142857143
conceição do almeida;Bahia;0,142857143
itapevi;São Paulo;0,142857143
conceição do coité;Bahia;0,142857143
apicum-açu;Maranhão;0,142857143
itaporanga;São Paulo;0,142857143
itapuí;São Paulo;0,142857143
santo amaro das brotas;Sergipe;0,142857143
santana do são francisco;Sergipe;0,142857143
itaquaquecetuba;São Paulo;0,142857143
alto alegre do maranhão;Maranhão;0,142857143
itariri;São Paulo;0,142857143
itirapina;São Paulo;0,142857143
conceição da feira;Bahia;0,142857143
santa rosa de lima;Sergipe;0,142857143
itirapuã;São Paulo;0,142857143
coração de maria;Bahia;0,142857143
itobi;São Paulo;0,142857143
santa luzia do itanhy;Sergipe;0,142857143
salgado;Sergipe;0,142857143
uruana;Goiás;0,142857143
jaci;São Paulo;0,142857143
trindade;Goiás;0,142857143
terezópolis de goiás;Goiás;0,142857143
jandira;São Paulo;0,142857143
rosário do catete;Sergipe;0,142857143
axixá;Maranhão;0,142857143
bacabal;Maranhão;0,142857143
nossa senhora de lourdes;Sergipe;0,142857143
ipuã;São Paulo;0,142857143
ipaussu;São Paulo;0,142857143
iperó;São Paulo;0,142857143
buriticupu;Maranhão;0,142857143
ipeúna;São Paulo;0,142857143
ipiguá;São Paulo;0,142857143
telha;Sergipe;0,142857143
cardeal da silva;Bahia;0,142857143
siriri;Sergipe;0,142857143
brejo;Maranhão;0,142857143
simão dias;Sergipe;0,142857143
bom lugar;Maranhão;0,142857143
castro alves;Bahia;0,142857143
irapuã;São Paulo;0,142857143
itapecerica da serra;São Paulo;0,142857143
são miguel do aleixo;Sergipe;0,142857143
irapuru;São Paulo;0,142857143
catu;Bahia;0,142857143
são francisco;Sergipe;0,142857143
central;Bahia;0,142857143
são domingos;Sergipe;0,142857143
cícero dantas;Bahia;0,142857143
itajobi;São Paulo;0,142857143
bela vista do maranhão;Maranhão;0,142857143
cipó;Bahia;0,142857143
coaraci;Bahia;0,142857143
são cristóvão;Sergipe;0,142857143
senador canedo;Goiás;0,142857143
ribeirópolis;Sergipe;0,142857143
júlio mesquita;São Paulo;0,142857143
gandu;Bahia;0,142857143
euclides da cunha;Bahia;0,142857143
fátima;Bahia;0,142857143
uchoa;São Paulo;0,142857143
pinhão;Sergipe;0,142857143
filadélfia;Bahia;0,142857143
firmino alves;Bahia;0,142857143
novo gama;Goiás;0,142857143
nova veneza;Goiás;0,142857143
marinópolis;São Paulo;0,142857143
floresta azul;Bahia;0,142857143
mauá;São Paulo;0,142857143
pedrinhas;Sergipe;0,142857143
pedra mole;Sergipe;0,142857143
são luís de montes belos;Goiás;0,142857143
ipaumirim;Ceará;0,142857143
pacatuba;Sergipe;0,142857143
nerópolis;Goiás;0,142857143
nazário;Goiás;0,142857143
mineiros do tietê;São Paulo;0,142857143
nossa senhora do socorro;Sergipe;0,142857143
gongogi;Bahia;0,142857143
mirassolândia;São Paulo;0,142857143
maurilândia;Goiás;0,142857143
ipu;Ceará;0,142857143
governador mangabeira;Bahia;0,142857143
monte alegre do sul;São Paulo;0,142857143
manduri;São Paulo;0,142857143
palmelo;Goiás;0,142857143
pirambu;Sergipe;0,142857143
entre rios;Bahia;0,142857143
jumirim;São Paulo;0,142857143
riachuelo;Sergipe;0,142857143
cravolândia;Bahia;0,142857143
santo antônio do descoberto;Goiás;0,142857143
crisópolis;Bahia;0,142857143
santo antônio de goiás;Goiás;0,142857143
riachão do dantas;Sergipe;0,142857143
lavrinhas;São Paulo;0,142857143
santa helena de goiás;Goiás;0,142857143
santa bárbara de goiás;Goiás;0,142857143
rianápolis;Goiás;0,142857143
rialma;Goiás;0,142857143
propriá;Sergipe;0,142857143
lucélia;São Paulo;0,142857143
planaltina;Goiás;0,142857143
dário meira;Bahia;0,142857143
dias d'ávila;Bahia;0,142857143
porto da folha;Sergipe;0,142857143
luiziânia;São Paulo;0,142857143
lupércio;São Paulo;0,142857143
dom macedo costa;Bahia;0,142857143
elísio medrado;Bahia;0,142857143
macatuba;São Paulo;0,142857143
poço verde;Sergipe;0,142857143
macaubal;São Paulo;0,142857143
cajari;Maranhão;0,142857143
tobias barreto;Sergipe;0,142857143
capim grosso;Bahia;0,142857143
farias brito;Ceará;0,142857143
tremembé;São Paulo;0,142857143
palmeirândia;Maranhão;0,142857143
aratuípe;Bahia;0,142857143
olinda nova do maranhão;Maranhão;0,142857143
aurelino leal;Bahia;0,142857143
três fronteiras;São Paulo;0,142857143
olho d'água das cunhãs;Maranhão;0,142857143
milagres;Bahia;0,142857143
banzaê;Bahia;0,142857143
buriti do tocantins;Tocantins;0,142857143
eusébio;Ceará;0,142857143
barra do choça;Bahia;0,142857143
barra do rocha;Bahia;0,142857143
matinha;Maranhão;0,142857143
francisco morato;São Paulo;0,142857143
franco da rocha;São Paulo;0,142857143
barro alto;Bahia;0,142857143
barro preto;Bahia;0,142857143
barrocas;Bahia;0,142857143
miranda do norte;Maranhão;0,142857143
forquilha;Ceará;0,142857143
fortim;Ceará;0,142857143
biritinga;Bahia;0,142857143
frecheirinha;Ceará;0,142857143
general sampaio;Ceará;0,142857143
graça;Ceará;0,142857143
paraibano;Maranhão;0,142857143
ferraz de vasconcelos;São Paulo;0,142857143
aramari;Bahia;0,142857143
cruz;Ceará;0,142857143
anguera;Bahia;0,142857143
antas;Bahia;0,142857143
engenheiro coelho;São Paulo;0,142857143
jardim;Ceará;0,142857143
antônio cardoso;Bahia;0,142857143
presidente juscelino;Maranhão;0,142857143
presidente dutra;Maranhão;0,142857143
porto rico do maranhão;Maranhão;0,142857143
estiva gerbi;São Paulo;0,142857143
antônio gonçalves;Bahia;0,142857143
sales oliveira;São Paulo;0,142857143
aporá;Bahia;0,142857143
estrela d'oeste;São Paulo;0,142857143
pio xii;Maranhão;0,142857143
pinheiro;Maranhão;0,142857143
torre de pedra;São Paulo;0,142857143
pindaré-mirim;Maranhão;0,142857143
apuarema;Bahia;0,142857143
crato;Ceará;0,142857143
peritoró;Maranhão;0,142857143
peri mirim;Maranhão;0,142857143
penalva;Maranhão;0,142857143
araci;Bahia;0,142857143
pedreiras;Maranhão;0,142857143
fernando prestes;São Paulo;0,142857143
tuiuti;São Paulo;0,142857143
mata roma;Maranhão;0,142857143
indiana;São Paulo;0,142857143
davinópolis;Maranhão;0,142857143
camacan;Bahia;0,142857143
camamu;Bahia;0,142857143
icapuí;Ceará;0,142857143
governador edison lobão;Maranhão;0,142857143
hortolândia;São Paulo;0,142857143
canarana;Bahia;0,142857143
icó;Ceará;0,142857143
iguatu;Ceará;0,142857143
severínia;São Paulo;0,142857143
ibirarema;São Paulo;0,142857143
esperantinópolis;Maranhão;0,142857143
duque bacelar;Maranhão;0,142857143
rosana;São Paulo;0,142857143
axixá do tocantins;Tocantins;0,142857143
cururupu;Maranhão;0,142857143
candeias;Bahia;0,142857143
coroatá;Maranhão;0,142857143
candiba;Bahia;0,142857143
maragogipe;Bahia;0,142857143
coelho neto;Maranhão;0,142857143
codó;Maranhão;0,142857143
umbaúba;Sergipe;0,142857143
cedral;Maranhão;0,142857143
caxias;Maranhão;0,142857143
cantanhede;Maranhão;0,142857143
tomar do geru;Sergipe;0,142857143
guareí;São Paulo;0,142857143
igarapé do meio;Maranhão;0,142857143
igarapé grande;Maranhão;0,142857143
itapecuru mirim;Maranhão;0,142857143
granjeiro;Ceará;0,142857143
augustinópolis;Tocantins;0,142857143
groaíras;Ceará;0,142857143
brejões;Bahia;0,142857143
maracaçumé;Maranhão;0,142857143
magalhães de almeida;Maranhão;0,142857143
guaiúba;Ceará;0,142857143
guaiçara;São Paulo;0,142857143
guaraciaba do norte;Ceará;0,142857143
lima campos;Maranhão;0,142857143
buerarema;Bahia;0,142857143
guapiaçu;São Paulo;0,142857143
guapiara;São Paulo;0,142857143
guaramiranga;Ceará;0,142857143
lago dos rodrigues;Maranhão;0,142857143
lago do junco;Maranhão;0,142857143
cabaceiras do paraguaçu;Bahia;0,142857143
lago da pedra;Maranhão;0,142857143
cachoeira;Bahia;0,142857143
caculé;Bahia;0,142857143
guará;São Paulo;0,142857143
horizonte;Ceará;0,142857143
ibiapina;Ceará;0,142857143
ibicuitinga;Ceará;0,142857143
caldeirão grande;Bahia;0,142857143
luziânia;Goiás;0,142857143
nossa senhora das dores;Sergipe;0,142857143
embu-guaçu;São Paulo;0,142857143
boquim;Sergipe;0,142857143
tabuleiro do norte;Ceará;0,142857143
campo do brito;Sergipe;0,142857143
sobral;Ceará;0,142857143
brejo grande;Sergipe;0,142857143
jacobina;Bahia;0,142857143
senador pompeu;Ceará;0,142857143
são luís do curu;Ceará;0,142857143
são joão do jaguaribe;Ceará;0,142857143
são gonçalo do amarante;Ceará;0,142857143
jaguaquara;Bahia;0,142857143
são benedito;Ceará;0,142857143
santana do acaraú;Ceará;0,142857143
rafard;São Paulo;0,142857143
tianguá;Ceará;0,142857143
barra dos coqueiros;Sergipe;0,142857143
areia branca;Sergipe;0,142857143
russas;Ceará;0,142857143
arauá;Sergipe;0,142857143
reriutaba;Ceará;0,142857143
redenção;Ceará;0,142857143
jiquiriçá;Bahia;0,142857143
quixeré;Ceará;0,142857143
jitaúna;Bahia;0,142857143
aquidabã;Sergipe;0,142857143
quixelô;Ceará;0,142857143
quixadá;Ceará;0,142857143
itapagé;Ceará;0,142857143
ituberá;Bahia;0,142857143
morungaba;São Paulo;0,142857143
atilio vivacqua;Espírito Santo;0,142857143
ibitirama;Espírito Santo;0,142857143
ibatiba;Espírito Santo;0,142857143
governador lindenberg;Espírito Santo;0,142857143
dores do rio preto;Espírito Santo;0,142857143
itamarati de minas;Minas Gerais;0,142857143
divino de são lourenço;Espírito Santo;0,142857143
conceição do castelo;Espírito Santo;0,142857143
brejetuba;Espírito Santo;0,142857143
bom jesus do norte;Espírito Santo;0,142857143
capela;Sergipe;0,142857143
itororó;Bahia;0,142857143
boa esperança;Espírito Santo;0,142857143
apiacá;Espírito Santo;0,142857143
trairi;Ceará;0,142857143
alto rio novo;Espírito Santo;0,142857143
pratânia;São Paulo;0,142857143
alegre;Espírito Santo;0,142857143
afonso cláudio;Espírito Santo;0,142857143
viçosa do ceará;Ceará;0,142857143
várzea alegre;Ceará;0,142857143
varjota;Ceará;0,142857143
uruburetama;Ceará;0,142857143
umirim;Ceará;0,142857143
canindé de são francisco;Sergipe;0,142857143
umari;Ceará;0,142857143
tururu;Ceará;0,142857143
amparo de são francisco;Sergipe;0,142857143
potengi;Ceará;0,142857143
itapipoca;Ceará;0,142857143
valparaíso;São Paulo;0,142857143
morrinhos;Ceará;0,142857143
ribeirão branco;São Paulo;0,142857143
ribeirão corrente;São Paulo;0,142857143
rinópolis;São Paulo;0,142857143
lamarão;Bahia;0,142857143
missão velha;Ceará;0,142857143
lapão;Bahia;0,142857143
milhã;Ceará;0,142857143
vera cruz;São Paulo;0,142857143
milagres;Ceará;0,142857143
várzea paulista;São Paulo;0,142857143
vargem;São Paulo;0,142857143
valentim gentil;São Paulo;0,142857143
itapiúna;Ceará;0,142857143
meruoca;Ceará;0,142857143
mauriti;Ceará;0,142857143
massapê;Ceará;0,142857143
martinópole;Ceará;0,142857143
marco;Ceará;0,142857143
maranguape;Ceará;0,142857143
maracanaú;Ceará;0,142857143
urupês;São Paulo;0,142857143
rincão;São Paulo;0,142857143
limoeiro do norte;Ceará;0,142857143
jaguaruana;Ceará;0,142857143
lavras da mangabeira;Ceará;0,142857143
mucambo;Ceará;0,142857143
mulungu;Ceará;0,142857143
nova olinda;Ceará;0,142857143
rio das pedras;São Paulo;0,142857143
porteiras;Ceará;0,142857143
pires ferreira;Ceará;0,142857143
piquet carneiro;Ceará;0,142857143
pindoretama;Ceará;0,142857143
pereiro;Ceará;0,142857143
pentecoste;Ceará;0,142857143
penaforte;Ceará;0,142857143
vitória brasil;São Paulo;0,142857143
pedra branca;Ceará;0,142857143
restinga;São Paulo;0,142857143
laje;Bahia;0,142857143
paraipaba;Ceará;0,142857143
paracuru;Ceará;0,142857143
palmácia;Ceará;0,142857143
ribeirão bonito;São Paulo;0,142857143
pacujá;Ceará;0,142857143
pacoti;Ceará;0,142857143
itarema;Ceará;0,142857143
pacatuba;Ceará;0,142857143
pacajus;Ceará;0,142857143
orós;Ceará;0,142857143
ocara;Ceará;0,142857143
vista alegre do alto;São Paulo;0,142857143
novo oriente;Ceará;0,142857143
nova russas;Ceará;0,142857143
irupi;Espírito Santo;0,142857143
itaguaçu;Espírito Santo;0,142857143
itapemirim;Espírito Santo;0,142857143
cidade ocidental;Goiás;0,142857143
pacaembu;São Paulo;0,142857143
damolândia;Goiás;0,142857143
ibititá;Bahia;0,142857143
macambira;Sergipe;0,142857143
ichu;Bahia;0,142857143
laranjeiras;Sergipe;0,142857143
palmares paulista;São Paulo;0,142857143
rio grande da serra;São Paulo;0,142857143
palmeira d'oeste;São Paulo;0,142857143
lagarto;Sergipe;0,142857143
paraíso;São Paulo;0,142857143
paranapuã;São Paulo;0,142857143
parapuã;São Paulo;0,142857143
itabela;Bahia;0,142857143
iguaí;Bahia;0,142857143
inhambupe;Bahia;0,142857143
ipecaetá;Bahia;0,142857143
campo limpo de goiás;Goiás;0,142857143
japoatã;Sergipe;0,142857143
japaratuba;Sergipe;0,142857143
pedra bela;São Paulo;0,142857143
itaporanga d'ajuda;Sergipe;0,142857143
itabi;Sergipe;0,142857143
itabaianinha;Sergipe;0,142857143
irará;Bahia;0,142857143
pereiras;São Paulo;0,142857143
ouro verde;São Paulo;0,142857143
malhada dos bois;Sergipe;0,142857143
ibirataia;Bahia;0,142857143
firminópolis;Goiás;0,142857143
heliópolis;Bahia;0,142857143
ipueiras;Ceará;0,142857143
nossa senhora da glória;Sergipe;0,142857143
ibicaraí;Bahia;0,142857143
nazaré paulista;São Paulo;0,142857143
neves paulista;São Paulo;0,142857143
itaguari;Goiás;0,142857143
nipoã;São Paulo;0,142857143
neópolis;Sergipe;0,142857143
nova aliança;São Paulo;0,142857143
iporá;Goiás;0,142857143
muribeca;Sergipe;0,142857143
monte alegre de sergipe;Sergipe;0,142857143
moita bonita;Sergipe;0,142857143
nova europa;São Paulo;0,142857143
nova granada;São Paulo;0,142857143
nova guataporanga;São Paulo;0,142857143
maruim;Sergipe;0,142857143
nova luzitânia;São Paulo;0,142857143
novais;São Paulo;0,142857143
guapó;Goiás;0,142857143
goianira;Goiás;0,142857143
ibirapitanga;Bahia;0,142857143
goianápolis;Goiás;0,142857143
malhador;Sergipe;0,142857143
brazabrantes;Goiás;0,142857143
bonfinópolis;Goiás;0,142857143
itarana;Espírito Santo;0,142857143
muniz freire;Espírito Santo;0,142857143
cumbe;Sergipe;0,142857143
sooretama;Espírito Santo;0,142857143
são roque do canaã;Espírito Santo;0,142857143
são josé do calçado;Espírito Santo;0,142857143
são domingos do norte;Espírito Santo;0,142857143
cristinápolis;Sergipe;0,142857143
rio novo do sul;Espírito Santo;0,142857143
