nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
farroupilha,Rio Grande do Sul,Não,0.008715124
palmas,Tocantins,Não,0.008705717
neves paulista,São Paulo,Não,0.008589793
sapucaia do sul,Rio Grande do Sul,Não,0.008583415
três rios,Rio de Janeiro,Não,0.008501036
atibaia,São Paulo,Não,0.008470128
são bento do sul,Santa Catarina,Não,0.008309222
poços de caldas,Minas Gerais,Não,0.008279766
itatiba,São Paulo,Não,0.007978746
macaé,Rio de Janeiro,Não,0.00794867
cabo frio,Rio de Janeiro,Não,0.0078070294
paracambi,Rio de Janeiro,Não,0.0077145174
santa rita do sapucaí,Minas Gerais,Não,0.0076431218
várzea paulista,São Paulo,Não,0.007609822
schroeder,Santa Catarina,Não,0.007588724
boituva,São Paulo,Não,0.0075320876
santa maria,Rio Grande do Sul,Não,0.007469667
contagem,Minas Gerais,Não,0.0074157584
porto ferreira,São Paulo,Não,0.0073827193
sabará,Minas Gerais,Não,0.0072957124
pouso alegre,Minas Gerais,Não,0.0070937984
dias d'ávila,Bahia,Não,0.007018904
cambé,Paraná,Não,0.0068906755
maricá,Rio de Janeiro,Não,0.0068122405
linhares,Espírito Santo,Não,0.006736966
são gonçalo,Rio de Janeiro,Não,0.006726263
mucuri,Bahia,Não,0.006682933
urussanga,Santa Catarina,Não,0.006585334
ibiporã,Paraná,Não,0.0061028586
pomerode,Santa Catarina,Não,0.0058790506
itanhandu,Minas Gerais,Não,0.0058208816
parnamirim,Rio Grande do Norte,Não,0.0057661426
brusque,Santa Catarina,Não,0.0057481173
mogi guaçu,São Paulo,Não,0.0057132975
jaraguá do sul,Santa Catarina,Não,0.005684942
camaçari,Bahia,Não,0.0056688082
concórdia,Santa Catarina,Não,0.0053509856
seara,Santa Catarina,Não,0.0052313446
nova odessa,São Paulo,Não,0.005185397
barueri,São Paulo,Não,0.005158544
xaxim,Santa Catarina,Não,0.0051260167
ijuí,Rio Grande do Sul,Não,0.0050377552
pinhalzinho,Santa Catarina,Não,0.0047801994
teixeira de freitas,Bahia,Não,0.004743297
engenheiro paulo de frontin,Rio de Janeiro,Não,0.0047289524
limeira,São Paulo,Não,0.0046558324
cianorte,Paraná,Não,0.0046495455
vitória da conquista,Bahia,Não,0.0045682252
cruzeiro,São Paulo,Não,0.0044778483
pelotas,Rio Grande do Sul,Não,0.004416015
nova prata,Rio Grande do Sul,Não,0.004365948
lauro de freitas,Bahia,Não,0.004225618
joaçaba,Santa Catarina,Não,0.004215504
timóteo,Minas Gerais,Não,0.0042002313
betim,Minas Gerais,Não,0.004052232
itapiranga,Santa Catarina,Não,0.0039363196
ponta grossa,Paraná,Não,0.0039177123
patos de minas,Minas Gerais,Não,0.0038266534
diadema,São Paulo,Não,0.0037674822
mesquita,Rio de Janeiro,Não,0.003765242
chapecó,Santa Catarina,Não,0.0035416973
santo antônio de jesus,Bahia,Não,0.0035176205
caieiras,São Paulo,Não,0.003492842
paulínia,São Paulo,Não,0.003359561
jaguariúna,São Paulo,Não,0.0033178236
cidade gaúcha,Paraná,Não,0.0033175964
campo bom,Rio Grande do Sul,Não,0.0033145612
rio das ostras,Rio de Janeiro,Não,0.0032992754
ouro branco,Minas Gerais,Não,0.0032323173
joão monlevade,Minas Gerais,Não,0.0032159984
sud mennucci,São Paulo,Não,0.0032003971
jacarezinho,Paraná,Não,0.0031401645
itupeva,São Paulo,Não,0.0030974213
sete lagoas,Minas Gerais,Não,0.0030819217
vespasiano,Minas Gerais,Não,0.002997756
itapecerica da serra,São Paulo,Não,0.0029851713
rio do sul,Santa Catarina,Não,0.0028962535
estiva gerbi,São Paulo,Não,0.00287879
seropédica,Rio de Janeiro,Não,0.002858829
